id;disaster_type;disaster_subtype;event_name;country;subregion;location;origin;magnitude;magnitude_scale;latitude;longitude;start_year;start_month;start_day;end_year;end_month;end_day;total_deaths;total_injured;total_homeless;total_affected;total_damage;summary;quote;sound_url;image_url
1985-0021-FJI;Storm;Tropical cyclone;Eric, Nigel, Odette;Fiji;Melanesia;Lautoka area;;140;Kph;;;1985;1;17;1985;1;19;28;;;100000;212885;On January 17, 1985, a magnitude 140 Kph storm occurred in Lautoka area, Fiji, within the Melanesia subregion. It resulted in 28 deaths.;;;
1985-0042-FJI;Storm;Tropical cyclone;Gavin;Fiji;Melanesia;;;;Kph;;;1985;3;5;1985;3;5;3;;;2000;;On March 5, 1985, storm occurred in an unspecified location, Fiji, within the Melanesia subregion. It resulted in 3 deaths.;;;
1985-0043-SLB;Storm;Tropical cyclone;Hina;Solomon Islands;Melanesia;Utupia, Vanikolo, Tikopia Isl.;;;Kph;;;1985;3;14;1985;3;14;;;;650;;On March 14, 1985, storm occurred in Utupia, Vanikolo, Tikopia Isl., Solomon Islands, within the Melanesia subregion. It resulted in no confirmed casualties.;;;
1985-0044-FJI;Storm;Tropical cyclone;;Fiji;Melanesia;Western, Central divisions;;;Kph;;;1985;3;17;1985;3;17;1;;;20000;8749;On March 17, 1985, storm occurred in Western, Central divisions, Fiji, within the Melanesia subregion. It resulted in 1 deaths.;;;
1985-0227-PNG;Earthquake;Ground movement;;Papua New Guinea;Melanesia;Bialla, Piona regions (West New Britain);;7.2;Moment Magnitude;-5.599;151.045;1985;5;11;1985;5;11;;;;;2916;On May 11, 1985, a magnitude 7.2 Moment Magnitude earthquake occurred in Bialla, Piona regions (West New Britain), Papua New Guinea, within the Melanesia subregion. It resulted in no confirmed casualties.;;;
1986-0052-FJI;Flood;Flood (General);;Fiji;Melanesia;Vanua Levu + northern Isl.;;;Km2;;;1986;4;12;1986;4;12;19;;;215000;44073;On April 12, 1986, flood occurred in Vanua Levu + northern Isl., Fiji, within the Melanesia subregion. It resulted in 19 deaths.;;;
1986-0065-SLB;Storm;Tropical cyclone;Namu;Solomon Islands;Melanesia;Malaita, Guadalcanal, Ulawa, Makira, Rennell, Bellona Islands;;;Kph;;;1986;5;19;1986;5;19;101;;60000;150000;57238;On May 19, 1986, storm occurred in Malaita, Guadalcanal, Ulawa, Makira, Rennell, Bellona Islands, Solomon Islands, within the Melanesia subregion. It resulted in 101 deaths, and 60000 people left homeless.;;;
1986-0076-PNG;Earthquake;Ground movement;;Papua New Guinea;Melanesia;East Sepik province;;7.1;Moment Magnitude;-4;142;1986;6;24;1986;6;24;;;;1000;1431;On June 24, 1986, a magnitude 7.1 Moment Magnitude earthquake occurred in East Sepik province, Papua New Guinea, within the Melanesia subregion. It resulted in no confirmed casualties.;;;
1986-0143-FJI;Storm;Tropical cyclone;Rajah;Fiji;Melanesia;Vanua Levu, Taveuni, Lau groups;;140;Kph;;;1986;12;28;1986;12;28;1;;;3000;57238;On December 28, 1986, a magnitude 140 Kph storm occurred in Vanua Levu, Taveuni, Lau groups, Fiji, within the Melanesia subregion. It resulted in 1 deaths.;;;
1987-0048-COK;Storm;Tropical cyclone;Sally;Cook Islands;Polynesia;Rarotonga, Aitutaki, Mangaia;;;Kph;;;1987;1;2;1987;1;2;5;;;2000;69018;On January 2, 1987, storm occurred in Rarotonga, Aitutaki, Mangaia, Cook Islands, within the Polynesia subregion. It resulted in 5 deaths.;;;
1987-0057-VUT;Storm;Tropical cyclone;Uma;Vanuatu;Melanesia;Efate, Erromango, Tanna, Aniwa;;;Kph;;;1987;2;7;1987;2;8;48;;;48000;69018;On February 7, 1987, storm occurred in Efate, Erromango, Tanna, Aniwa, Vanuatu, within the Melanesia subregion. It resulted in 48 deaths.;;;
1987-0058-PNG;Earthquake;Ground movement;;Papua New Guinea;Melanesia;Umboi Isl., Finschafen area of Huon peninsula;;7.4;Moment Magnitude;-6.088;147.689;1987;2;9;1987;2;9;1;;;4000;7247;On February 9, 1987, a magnitude 7.4 Moment Magnitude earthquake occurred in Umboi Isl., Finschafen area of Huon peninsula, Papua New Guinea, within the Melanesia subregion. It resulted in 1 deaths.;;;
1987-0062-TUV;Storm;Tropical cyclone;;Tuvalu;Polynesia;Funafuti and other islands;;;Kph;;;1987;2;22;1987;2;22;;;;;;On February 22, 1987, storm occurred in Funafuti and other islands, Tuvalu, within the Polynesia subregion. It resulted in no confirmed casualties.;;;
1987-0064-TKL;Storm;Storm (General);;Tokelau;Polynesia;Fakaofo, Nukumono, Atafu Atolls;;;Kph;;;1987;2;27;1987;2;27;;;30;1730;1380;On February 27, 1987, storm occurred in Fakaofo, Nukumono, Atafu Atolls, Tokelau, within the Polynesia subregion. It resulted in 30 people left homeless.;;;
1987-0332-FJI;Storm;Storm (General);;Fiji;Melanesia;;;;Kph;;;1987;1;;1987;1;;1;;;3369;69018;On 1987, storm occurred in an unspecified location, Fiji, within the Melanesia subregion. It resulted in 1 deaths.;;;
1987-0569-PYF;Mass movement (wet);Landslide (wet);;French Polynesia;Polynesia;Huahine (Tahiti);;;;;;1987;4;17;1987;4;17;10;;;;;On April 17, 1987, mass movement (wet) occurred in Huahine (Tahiti), French Polynesia, within the Polynesia subregion. It resulted in 10 deaths.;;;
1987-0590-FSM;Storm;Tropical cyclone;Nina;Micronesia (Federated States of);Micronesia;;;148;Kph;;;1987;11;21;1987;11;21;5;3;200;203;16564;On November 21, 1987, a magnitude 148 Kph storm occurred in an unspecified location, Micronesia (Federated States of), within the Micronesia subregion. It resulted in 5 deaths, and 3 injuries, and 200 people left homeless.;;;
1988-0040-VUT;Storm;Tropical cyclone;Anne;Vanuatu;Melanesia;Torres, Banks Groups, West Espiritu Santo;;;Kph;;;1988;1;11;1988;1;11;;;1600;4700;;On January 11, 1988, storm occurred in Torres, Banks Groups, West Espiritu Santo, Vanuatu, within the Melanesia subregion. It resulted in 1600 people left homeless.;;;
1988-0415-PNG;Mass movement (dry);Landslide (dry);;Papua New Guinea;Melanesia;Kaiapit district (Morobe province);;;;;;1988;9;6;1988;9;6;76;;;1000;;On September 6, 1988, mass movement (dry) occurred in Kaiapit district (Morobe province), Papua New Guinea, within the Melanesia subregion. It resulted in 76 deaths.;;;
1988-0675-SLB;Earthquake;Ground movement;;Solomon Islands;Melanesia;Southwestern coast San Cristobal;;6.6;Moment Magnitude;-10.199;160.855;1988;8;10;1988;8;10;1;;500;500;;On August 10, 1988, a magnitude 6.6 Moment Magnitude earthquake occurred in Southwestern coast San Cristobal, Solomon Islands, within the Melanesia subregion. It resulted in 1 deaths, and 500 people left homeless.;;;
1988-0676-VUT;Storm;Tropical cyclone;Bola;Vanuatu;Melanesia;;;;Kph;;;1988;8;;1988;8;;;;2000;2000;;On 1988, storm occurred in an unspecified location, Vanuatu, within the Melanesia subregion. It resulted in 2000 people left homeless.;;;
1988-0694-VUT;Mass movement (wet);Landslide (wet);;Vanuatu;Melanesia;;;;;;;1988;;;1988;;;1;;3000;3000;;On 1988, mass movement (wet) occurred in an unspecified location, Vanuatu, within the Melanesia subregion. It resulted in 1 deaths, and 3000 people left homeless.;;;
1989-0002-WSM;Storm;Tropical cyclone;Fili & Gina;Samoa;Polynesia;Countrywide, especially Savaii Isl.;;;Kph;;;1989;1;6;1989;1;6;;;;;39222;On January 6, 1989, storm occurred in Countrywide, especially Savaii Isl., Samoa, within the Polynesia subregion. It resulted in no confirmed casualties.;;;
1989-0561-ASM;Storm;Tropical cyclone;Gina;American Samoa;Polynesia;;;;Kph;;;1989;1;10;1989;1;10;;;;;12652;On January 10, 1989, storm occurred in an unspecified location, American Samoa, within the Polynesia subregion. It resulted in no confirmed casualties.;;;
1989-0574-FJI;Flood;Flood (General);;Fiji;Melanesia;;;;Km2;;;1989;;;1989;;;10;;;;;On 1989, flood occurred in an unspecified location, Fiji, within the Melanesia subregion. It resulted in 10 deaths.;;;
1989-0596-VUT;Epidemic;Viral disease;Dengue;Vanuatu;Melanesia;;;;Vaccinated;;;1989;;;1989;12;;12;3000;;3000;;On 1989, epidemic occurred in an unspecified location, Vanuatu, within the Melanesia subregion. It resulted in 12 deaths, and 3000 injuries.;;;
1990-0003-WSM;Storm;Tropical cyclone;Ofa;Samoa;Polynesia;Upolu, Sawali;;;Kph;;;1990;2;1;1990;2;4;8;;25000;195000;480167;On February 1, 1990, storm occurred in Upolu, Sawali, Samoa, within the Polynesia subregion. It resulted in 8 deaths, and 25000 people left homeless.;;;
1990-0006-TKL;Storm;Tropical cyclone;Ofa;Tokelau;Polynesia;Nukunonu, Atafu, Fakaofu atolls;;;Kph;;;1990;2;;1990;2;;;;102;102;5762;On 1990, storm occurred in Nukunonu, Atafu, Fakaofu atolls, Tokelau, within the Polynesia subregion. It resulted in 102 people left homeless.;;;
1990-0007-NIU;Storm;Tropical cyclone;Ofa;Niue;Polynesia;Alofi;;;Kph;;;1990;2;4;1990;2;4;;;;200;;On February 4, 1990, storm occurred in Alofi, Niue, within the Polynesia subregion. It resulted in no confirmed casualties.;;;
1990-0008-TON;Storm;Tropical cyclone;Ofa;Tonga;Polynesia;Tofahi, Niuatoputapu, Niuafo'ou Islands;;;Kph;;;1990;2;4;1990;2;4;1;3;500;3103;6002;On February 4, 1990, storm occurred in Tofahi, Niuatoputapu, Niuafo'ou Islands, Tonga, within the Polynesia subregion. It resulted in 1 deaths, and 3 injuries, and 500 people left homeless.;;;
1990-0010-TUV;Storm;Tropical cyclone;Ofa;Tuvalu;Polynesia;Vaitupu;;;Kph;;;1990;2;4;1990;2;4;;;400;700;;On February 4, 1990, storm occurred in Vaitupu, Tuvalu, within the Polynesia subregion. It resulted in 400 people left homeless.;;;
1990-0013-COK;Storm;Tropical cyclone;Peni;Cook Islands;Polynesia;Aitutaki, Atiu, Mangaia, Mauke, Rakahanga, Rarotonga islands;;185;Kph;;;1990;2;14;1990;2;14;1;;;;;On February 14, 1990, a magnitude 185 Kph storm occurred in Aitutaki, Atiu, Mangaia, Mauke, Rakahanga, Rarotonga islands, Cook Islands, within the Polynesia subregion. It resulted in 1 deaths.;;;
1990-0121-FJI;Storm;Tropical cyclone;Sina;Fiji;Melanesia;Viti Levu, Lau group;;;Kph;;;1990;11;28;1990;11;28;;;3000;6000;24008;On November 28, 1990, storm occurred in Viti Levu, Lau group, Fiji, within the Melanesia subregion. It resulted in 3000 people left homeless.;;;
1990-0186-VUT;Earthquake;Ground movement;;Vanuatu;Melanesia;;;6.7;Moment Magnitude;-15.465;166.385;1990;2;19;1990;2;19;;;;;;On February 19, 1990, a magnitude 6.7 Moment Magnitude earthquake occurred in an unspecified location, Vanuatu, within the Melanesia subregion. It resulted in no confirmed casualties.;;;
1990-0188-FJI;Earthquake;Ground movement;;Fiji;Melanesia;South of Fiji Islands;;7.4;Moment Magnitude;-22.122;175.163;1990;3;3;1990;3;3;;;;;;On March 3, 1990, a magnitude 7.4 Moment Magnitude earthquake occurred in South of Fiji Islands, Fiji, within the Melanesia subregion. It resulted in no confirmed casualties.;;;
1990-0190-VUT;Earthquake;Ground movement;;Vanuatu;Melanesia;Port Vila;;7;Moment Magnitude;-18.318;168.063;1990;3;5;1990;3;5;;;;;;On March 5, 1990, a magnitude 7 Moment Magnitude earthquake occurred in Port Vila, Vanuatu, within the Melanesia subregion. It resulted in no confirmed casualties.;;;
1990-0214-PNG;Earthquake;Ground movement;;Papua New Guinea;Melanesia;North East coast;;;Moment Magnitude;-3.5;144;1990;6;7;1990;6;7;;;;;;On June 7, 1990, earthquake occurred in North East coast, Papua New Guinea, within the Melanesia subregion. It resulted in no confirmed casualties.;;;
1990-0221-FJI;Earthquake;Ground movement;;Fiji;Melanesia;;;6.3;Moment Magnitude;-21.363;-176.582;1990;6;23;1990;6;23;;;;;;On June 23, 1990, a magnitude 6.3 Moment Magnitude earthquake occurred in an unspecified location, Fiji, within the Melanesia subregion. It resulted in no confirmed casualties.;;;
1990-0227-VUT;Earthquake;Ground movement;;Vanuatu;Melanesia;Espiritu Santo;;6.8;Moment Magnitude;-15.319;167.396;1990;7;27;1990;7;27;;2;;2;;On July 27, 1990, a magnitude 6.8 Moment Magnitude earthquake occurred in Espiritu Santo, Vanuatu, within the Melanesia subregion. It resulted in 2 injuries.;;;
1990-0701-COK;Epidemic;Viral disease;Dengue;Cook Islands;Polynesia;;;;Vaccinated;;;1990;12;;1990;12;;7;;;1200;;On 1990, epidemic occurred in an unspecified location, Cook Islands, within the Polynesia subregion. It resulted in 7 deaths.;;;
1991-0059-PNG;Mass movement (wet);Landslide (wet);;Papua New Guinea;Melanesia;Chimbu province;Heavy rains;;;;;1991;2;24;1991;2;24;200;;5000;5000;;On February 24, 1991, mass movement (wet) occurred in Chimbu province, Papua New Guinea, within the Melanesia subregion. It resulted in 200 deaths, and 5000 people left homeless.;;;
1991-0364-WSM;Storm;Tropical cyclone;Val & Wasa;Samoa;Polynesia;Savaii isl.;;167;Kph;;;1991;12;7;1991;12;7;13;;3000;88000;640315;On December 7, 1991, a magnitude 167 Kph storm occurred in Savaii isl., Samoa, within the Polynesia subregion. It resulted in 13 deaths, and 3000 people left homeless.;;;
1991-0456-MHL;Storm;Tropical cyclone;Zelda;Marshall Islands;Micronesia;;;;Kph;;;1991;11;28;1991;11;28;;;6000;6000;;On November 28, 1991, storm occurred in an unspecified location, Marshall Islands, within the Micronesia subregion. It resulted in 6000 people left homeless.;;;
1992-0001-VUT;Storm;Tropical cyclone;Betsy;Vanuatu;Melanesia;Efate, Ambrym, Pentecost, Mataso, Epi, Vila, Malekula;;222;Kph;;;1992;1;9;1992;1;9;2;10;;10;;On January 9, 1992, a magnitude 222 Kph storm occurred in Efate, Ambrym, Pentecost, Mataso, Epi, Vila, Malekula, Vanuatu, within the Melanesia subregion. It resulted in 2 deaths, and 10 injuries.;;;
1992-0050-VUT;Storm;Tropical cyclone;Fran;Vanuatu;Melanesia;Efate, Port Vila;;222;Kph;;;1992;3;9;1992;3;9;;;;1150;;On March 9, 1992, a magnitude 222 Kph storm occurred in Efate, Port Vila, Vanuatu, within the Melanesia subregion. It resulted in no confirmed casualties.;;;
1992-0123-PNG;Flood;Flood (General);;Papua New Guinea;Melanesia;Green River (Near Iran Jaya);;;Km2;;;1992;3;;1992;3;;;;;90000;;On 1992, flood occurred in Green River (Near Iran Jaya), Papua New Guinea, within the Melanesia subregion. It resulted in no confirmed casualties.;;;
1992-0146-PNG;Volcanic activity;Ash fall;Manam;Papua New Guinea;Melanesia;Manam Isl.;;;;-4.08;145.037;1992;10;14;1992;10;14;;;;;;On October 14, 1992, volcanic activity occurred in Manam Isl., Papua New Guinea, within the Melanesia subregion. It resulted in no confirmed casualties.;;;
1992-0162-FJI;Storm;Tropical cyclone;Joni;Fiji;Melanesia;Viti Levu;;;Kph;;;1992;12;11;1992;12;11;1;;;2000;3577;On December 11, 1992, storm occurred in Viti Levu, Fiji, within the Melanesia subregion. It resulted in 1 deaths.;;;
1992-0506-SLB;Storm;Storm (General);;Solomon Islands;Melanesia;Tikopia;;;Kph;;;1992;;;1992;;;;;;;;On 1992, storm occurred in Tikopia, Solomon Islands, within the Melanesia subregion. It resulted in no confirmed casualties.;;;
1993-0002-FJI;Storm;Tropical cyclone;Kina;Fiji;Melanesia;Yasawa, Northern and Eastern Viti Levu, Southern Vanua Levu, Western and Southern Lau group;;241;Kph;;;1993;1;2;1993;1;2;21;3;10000;160003;217148;On January 2, 1993, a magnitude 241 Kph storm occurred in Yasawa, Northern and Eastern Viti Levu, Southern Vanua Levu, Western and Southern Lau group, Fiji, within the Melanesia subregion. It resulted in 21 deaths, and 3 injuries, and 10000 people left homeless.;;;
1993-0006-TUV;Storm;Tropical cyclone;Nina;Tuvalu;Polynesia;Nanumea, Nanumaga, Niutao, Nui, Vaitupu;;130;Kph;;;1993;1;3;1993;1;3;;;150;150;;On January 3, 1993, a magnitude 130 Kph storm occurred in Nanumea, Nanumaga, Niutao, Nui, Vaitupu, Tuvalu, within the Polynesia subregion. It resulted in 150 people left homeless.;;;
1993-0007-SLB;Storm;Tropical cyclone;Nina;Solomon Islands;Melanesia;Rennell, Bellona, Temotu, Makira, Malaita, Guadacanal;;130;Kph;;;1993;1;4;1993;1;4;4;;;88500;;On January 4, 1993, a magnitude 130 Kph storm occurred in Rennell, Bellona, Temotu, Makira, Malaita, Guadacanal, Solomon Islands, within the Melanesia subregion. It resulted in 4 deaths.;;;
1993-0016-PNG;Storm;Tropical cyclone;Adel;Papua New Guinea;Melanesia;Woodlark, Trobriand, Kitava, Fegusson, Goodenough;;83;Kph;;;1993;5;14;1993;5;14;15;40;15000;40040;3257;On May 14, 1993, a magnitude 83 Kph storm occurred in Woodlark, Trobriand, Kitava, Fegusson, Goodenough, Papua New Guinea, within the Melanesia subregion. It resulted in 15 deaths, and 40 injuries, and 15000 people left homeless.;;;
1993-0024-VUT;Storm;Tropical cyclone;Prema;Vanuatu;Melanesia;Sherperd Isl., Southern Epi, Northern Efate;;250;Kph;;;1993;3;30;1993;3;30;4;5;7000;12005;13029;On March 30, 1993, a magnitude 250 Kph storm occurred in Sherperd Isl., Southern Epi, Northern Efate, Vanuatu, within the Melanesia subregion. It resulted in 4 deaths, and 5 injuries, and 7000 people left homeless.;;;
1993-0038-PNG;Flood;Flood (General);;Papua New Guinea;Melanesia;Bougainville Isl.;;;Km2;;;1993;6;12;1993;6;12;;;40000;54000;5429;On June 12, 1993, flood occurred in Bougainville Isl., Papua New Guinea, within the Melanesia subregion. It resulted in 40000 people left homeless.;;;
1993-0076-PNG;Earthquake;Ground movement;;Papua New Guinea;Melanesia;Goroka;;7.2;Moment Magnitude;-5.889;146.202;1993;10;13;1993;10;13;53;200;10000;20200;10857;On October 13, 1993, a magnitude 7.2 Moment Magnitude earthquake occurred in Goroka, Papua New Guinea, within the Melanesia subregion. It resulted in 53 deaths, and 200 injuries, and 10000 people left homeless.;;;
1994-0076-VUT;Earthquake;Ground movement;;Vanuatu;Melanesia;Malakula Isl.;;7.3;Moment Magnitude;40.49;-124.1;1994;8;13;1994;8;13;;;;;;On August 13, 1994, a magnitude 7.3 Moment Magnitude earthquake occurred in Malakula Isl., Vanuatu, within the Melanesia subregion. It resulted in no confirmed casualties.;;;
1994-0212-PNG;Volcanic activity;Ash fall;Rabaul;Papua New Guinea;Melanesia;Eastern New Britain;;;;-4.271;152.203;1994;9;19;1994;9;19;5;2;46000;152002;232793;On September 19, 1994, volcanic activity occurred in Eastern New Britain, Papua New Guinea, within the Melanesia subregion. It resulted in 5 deaths, and 2 injuries, and 46000 people left homeless.;;;
1996-0238-PNG;Volcanic activity;Ash fall;Tavurvur;Papua New Guinea;Melanesia;Rabaul Town;;;;-4.3;152.2;1996;10;6;1996;10;6;;;;300;;On October 6, 1996, volcanic activity occurred in Rabaul Town, Papua New Guinea, within the Melanesia subregion. It resulted in no confirmed casualties.;;;
1996-0280-PNG;Mass movement (wet);Landslide (wet);;Papua New Guinea;Melanesia;Wajunda Village;;;;;;1996;12;24;1996;12;24;38;8;;8;;On December 24, 1996, mass movement (wet) occurred in Wajunda Village, Papua New Guinea, within the Melanesia subregion. It resulted in 38 deaths, and 8 injuries.;;;
1996-0300-PNG;Volcanic activity;Ash fall;Manam;Papua New Guinea;Melanesia;Manam Isl.;;;;-4.08;145.037;1996;12;4;1996;12;4;4;29;;1529;;On December 4, 1996, volcanic activity occurred in Manam Isl., Papua New Guinea, within the Melanesia subregion. It resulted in 4 deaths, and 29 injuries.;;;
1997-0039-FJI;Storm;Tropical cyclone;Gavin;Fiji;Melanesia;Western division;;240;Kph;;;1997;3;10;1997;3;10;25;;;3500;52765;On March 10, 1997, a magnitude 240 Kph storm occurred in Western division, Fiji, within the Melanesia subregion. It resulted in 25 deaths.;;;
1997-0093-PNG;Storm;Tropical cyclone;Justin;Papua New Guinea;Melanesia;;;130;Kph;;;1997;3;11;1997;3;11;32;;7500;7500;;On March 11, 1997, a magnitude 130 Kph storm occurred in an unspecified location, Papua New Guinea, within the Melanesia subregion. It resulted in 32 deaths, and 7500 people left homeless.;;;
1997-0094-TON;Storm;Tropical cyclone;Hina;Tonga;Polynesia;Tonatapu Is.;;93;Kph;;;1997;3;16;1997;3;16;;;3000;3000;;On March 16, 1997, a magnitude 93 Kph storm occurred in Tonatapu Is., Tonga, within the Polynesia subregion. It resulted in 3000 people left homeless.;;;
1997-0259-COK;Storm;Tropical cyclone;Martin;Cook Islands;Polynesia;Pukapuka, Rakahanga, Manihiki isla,ds;;130;Kph;;;1997;11;7;1997;11;7;19;200;;900;;On November 7, 1997, a magnitude 130 Kph storm occurred in Pukapuka, Rakahanga, Manihiki isla,ds, Cook Islands, within the Polynesia subregion. It resulted in 19 deaths, and 200 injuries.;;;
1997-0264-PNG;Wildfire;Land fire (Brush, Bush, Pasture);;Papua New Guinea;Melanesia;;;;Km2;;;1997;9;23;1997;9;23;;;;8000;;On September 23, 1997, wildfire occurred in an unspecified location, Papua New Guinea, within the Melanesia subregion. It resulted in no confirmed casualties.;;;
1997-0538-COK;Epidemic;Viral disease;Dengue fever;Cook Islands;Polynesia;Rarotonga;;;Vaccinated;;;1997;1;;1997;2;15;;;;123;;On 1997, epidemic occurred in Rarotonga, Cook Islands, within the Polynesia subregion. It resulted in no confirmed casualties.;;;
1997-9263-PNG;Drought;Drought;;Papua New Guinea;Melanesia;Milne Bay, Morobe, Madang, East;El Nino;452800;Km2;;;1997;9;;1998;;;60;;;500000;;On 1997, a magnitude 452800 Km2 drought occurred in Milne Bay, Morobe, Madang, East, Papua New Guinea, within the Melanesia subregion. It resulted in 60 deaths.;;;
1997-9300-SLB;Drought;Drought;;Solomon Islands;Melanesia;Choiseul, Isabel, Western, Central provinces;;;Km2;;;1997;11;;1997;;;;;;;;On 1997, drought occurred in Choiseul, Isabel, Western, Central provinces, Solomon Islands, within the Melanesia subregion. It resulted in no confirmed casualties.;;;
1998-0051-TON;Storm;Tropical cyclone;Ron;Tonga;Polynesia;Niuafoou, Niuatoputapu, Tafahi Isl.;;;Kph;;;1998;1;7;1998;1;7;;;;500;;On January 7, 1998, storm occurred in Niuafoou, Niuatoputapu, Tafahi Isl., Tonga, within the Polynesia subregion. It resulted in no confirmed casualties.;;;
1998-0090-VUT;Storm;Tropical cyclone;Yali, Zuman;Vanuatu;Melanesia;West and SSE Erromango, West and North Tanna, Aniwa Isl., Gaua Isl., Santo Isl.;;157;Kph;;;1998;3;21;1998;3;21;;;;2400;;On March 21, 1998, a magnitude 157 Kph storm occurred in West and SSE Erromango, West and North Tanna, Aniwa Isl., Gaua Isl., Santo Isl., Vanuatu, within the Melanesia subregion. It resulted in no confirmed casualties.;;;
1998-0116-PYF;Mass movement (wet);Landslide (wet);;French Polynesia;Polynesia;Raiatea and Tahaa Is.;;;;;;1998;4;25;1998;4;25;13;11;;11;;On April 25, 1998, mass movement (wet) occurred in Raiatea and Tahaa Is., French Polynesia, within the Polynesia subregion. It resulted in 13 deaths, and 11 injuries.;;;
1998-0136-PNG;Epidemic;Viral disease;Acute respiratory syndrome;Papua New Guinea;Melanesia;;;;Vaccinated;;;1998;2;4;1998;2;4;114;;;;;On February 4, 1998, epidemic occurred in an unspecified location, Papua New Guinea, within the Melanesia subregion. It resulted in 114 deaths.;;;
1998-0220-PNG;Earthquake;Tsunami;;Papua New Guinea;Melanesia;Sandaun Province;Earthquake;7;Moment Magnitude;-2.961;141.926;1998;7;17;1998;7;17;2182;668;;9867;;On July 17, 1998, a magnitude 7 Moment Magnitude earthquake occurred in Sandaun Province, Papua New Guinea, within the Melanesia subregion. It resulted in 2182 deaths, and 668 injuries.;;;
1998-0427-PYF;Mass movement (wet);Landslide (wet);;French Polynesia;Polynesia;Tahiti;;;;;;1998;12;22;1998;12;22;;;;500;;On December 22, 1998, mass movement (wet) occurred in Tahiti, French Polynesia, within the Polynesia subregion. It resulted in no confirmed casualties.;;;
1998-0440-TON;Storm;Tropical cyclone;Cora;Tonga;Polynesia;Haapai Isl.;;160;Kph;;;1998;12;26;1998;12;26;;;;3071;;On December 26, 1998, a magnitude 160 Kph storm occurred in Haapai Isl., Tonga, within the Polynesia subregion. It resulted in no confirmed casualties.;;;
1998-9087-FSM;Drought;Drought;;Micronesia (Federated States of);Micronesia;Pohnpei, Chuuk, Yap states;El Nino;;Km2;;;1998;3;;1998;;;;;;28800;;On 1998, drought occurred in Pohnpei, Chuuk, Yap states, Micronesia (Federated States of), within the Micronesia subregion. It resulted in no confirmed casualties.;;;
1998-9223-SLB;Drought;Drought;;Solomon Islands;Melanesia;Basakana Island;El Nino;1;Km2;;;1998;8;;1998;;;;;;380;;On 1998, a magnitude 1 Km2 drought occurred in Basakana Island, Solomon Islands, within the Melanesia subregion. It resulted in no confirmed casualties.;;;
1998-9324-FJI;Drought;Drought;;Fiji;Melanesia;Viti Levu, Yasawa, Vanua Levu;Lack of rain, El Nino;13700;Km2;;;1998;1;;1998;;;;;;263455;;On 1998, a magnitude 13700 Km2 drought occurred in Viti Levu, Yasawa, Vanua Levu, Fiji, within the Melanesia subregion. It resulted in no confirmed casualties.;;;
1999-0023-FJI;Storm;Tropical cyclone;Dani;Fiji;Melanesia;Ba, Nadi, Lautoka, Tavua, Rakiraki Districts;;;Kph;;;1999;1;19;1999;1;19;12;;1772;1772;6591;On January 19, 1999, storm occurred in Ba, Nadi, Lautoka, Tavua, Rakiraki Districts, Fiji, within the Melanesia subregion. It resulted in 12 deaths, and 1772 people left homeless.;;;
1999-0061-NCL;Storm;Tropical cyclone;Frank;New Caledonia;Melanesia;Pouébo (Bourail commune);;155;Kph;;;1999;2;23;1999;2;23;;;;;;On February 23, 1999, a magnitude 155 Kph storm occurred in Pouébo (Bourail commune), New Caledonia, within the Melanesia subregion. It resulted in no confirmed casualties.;;;
1999-0126-PNG;Flood;Riverine flood;;Papua New Guinea;Melanesia;Ouest de la PNG, Ibongu district;;;Km2;;;1999;4;23;1999;4;23;2;;38000;38000;81406;On April 23, 1999, flood occurred in Ouest de la PNG, Ibongu district, Papua New Guinea, within the Melanesia subregion. It resulted in 2 deaths, and 38000 people left homeless.;;;
1999-0173-VUT;Storm;Storm (General);;Vanuatu;Melanesia;;;;Kph;;;1999;5;8;1999;5;8;32;;;;;On May 8, 1999, storm occurred in an unspecified location, Vanuatu, within the Melanesia subregion. It resulted in 32 deaths.;;;
1999-0502-NIU;Epidemic;Viral disease;Acute respiratory syndrome;Niue;Polynesia;;;;Vaccinated;;;1999;5;;1999;5;;1;;;297;;On 1999, epidemic occurred in an unspecified location, Niue, within the Polynesia subregion. It resulted in 1 deaths.;;;
1999-0524-VUT;Earthquake;Ground movement;;Vanuatu;Melanesia;Pentecost, Ambrym, Paama, Epi Islands;;7.5;Moment Magnitude;-16.423;168.214;1999;11;27;1999;11;27;12;100;2000;14100;;On November 27, 1999, a magnitude 7.5 Moment Magnitude earthquake occurred in Pentecost, Ambrym, Paama, Epi Islands, Vanuatu, within the Melanesia subregion. It resulted in 12 deaths, and 100 injuries, and 2000 people left homeless.;;;
1999-9086-KIR;Drought;Drought;;Kiribati;Micronesia;South Tarawa, Ocean Island;;;Km2;;;1999;3;;1999;;;;;;84000;;On 1999, drought occurred in South Tarawa, Ocean Island, Kiribati, within the Micronesia subregion. It resulted in no confirmed casualties.;;;
2000-0241-FSM;Epidemic;Bacterial disease;Cholera;Micronesia (Federated States of);Micronesia;Kitti, Nett, Kolonia, Madolenihmw municipalities (Pohnpei State);;;;;;2000;4;17;2000;8;21;19;;;3431;;On April 17, 2000, epidemic occurred in Kitti, Nett, Kolonia, Madolenihmw municipalities (Pohnpei State), Micronesia (Federated States of), within the Micronesia subregion. It resulted in 19 deaths.;;;
