id;disaster_type;disaster_subtype;event_name;country;subregion;location;origin;magnitude;magnitude_scale;latitude;longitude;start_year;start_month;start_day;end_year;end_month;end_day;total_deaths;total_injured;total_homeless;total_affected;total_damage;summary;quote;sound_url;image_url
1959-0018-VUT;Storm;Tropical cyclone;Amanda;Vanuatu;Melanesia;Southern Islands;;;Kph;;;1959;12;28;1959;12;28;;;;;;On December 28, 1959, storm occurred in Southern Islands, Vanuatu, within the Melanesia subregion. It resulted in no confirmed casualties.;;;
1960-0008-NIU;Storm;Tropical cyclone;Corine;Niue;Polynesia;;;;Kph;;;1960;1;18;1960;1;18;;;;4000;435;On January 18, 1960, storm occurred in an unspecified location, Niue, within the Polynesia subregion. It resulted in no confirmed casualties.;;;
1960-0011-PNG;Volcanic activity;Ash fall;Manam;Papua New Guinea;Melanesia;Manam;;;;-4.08;145.037;1960;3;17;1960;3;17;;;;2000;;On March 17, 1960, volcanic activity occurred in Manam, Papua New Guinea, within the Melanesia subregion. It resulted in no confirmed casualties.;;;
1961-0003-TON;Storm;Tropical cyclone;;Tonga;Polynesia;Vava'u Ha'Apai;;;Kph;;;1961;3;16;1961;3;16;2;;;8000;5247;On March 16, 1961, storm occurred in Vava'u Ha'Apai, Tonga, within the Polynesia subregion. It resulted in 2 deaths.;;;
1964-0019-FJI;Flood;Flood (General);;Fiji;Melanesia;Viti Levu;;;Km2;;;1964;3;22;1964;3;22;1;;10000;18000;11125;On March 22, 1964, flood occurred in Viti Levu, Fiji, within the Melanesia subregion. It resulted in 1 deaths, and 10000 people left homeless.;;;
1964-0086-WSM;Storm;Storm (General);;Samoa;Polynesia;;;;Kph;;;1964;6;13;1964;6;13;250;;;;;On June 13, 1964, storm occurred in an unspecified location, Samoa, within the Polynesia subregion. It resulted in 250 deaths.;;;
1965-0011-FJI;Storm;Tropical cyclone;;Fiji;Melanesia;Throughout Islands;;;Kph;;;1965;2;7;1965;2;7;2;;;10000;;On February 7, 1965, storm occurred in Throughout Islands, Fiji, within the Melanesia subregion. It resulted in 2 deaths.;;;
1966-0022-TKL;Storm;Tropical cyclone;;Tokelau;Polynesia;Nukunono, Fakaofo;;;Kph;;;1966;1;29;1966;1;29;;;;;;On January 29, 1966, storm occurred in Nukunono, Fakaofo, Tokelau, within the Polynesia subregion. It resulted in no confirmed casualties.;;;
1966-0088-SLB;Storm;Tropical cyclone;Angela;Solomon Islands;Melanesia;Malaita, Guadalcanal;;;Kph;;;1966;11;14;1966;11;14;3;;;1000;;On November 14, 1966, storm occurred in Malaita, Guadalcanal, Solomon Islands, within the Melanesia subregion. It resulted in 3 deaths.;;;
1966-0108-WSM;Storm;Tropical cyclone;;Samoa;Polynesia;All Isl.;;;Kph;;;1966;1;29;1966;1;29;10;;;95000;5799;On January 29, 1966, storm occurred in All Isl., Samoa, within the Polynesia subregion. It resulted in 10 deaths.;;;
1966-0117-ASM;Storm;Tropical cyclone;;American Samoa;Polynesia;;;;Kph;;;1966;1;;1966;1;;90;;;;;On 1966, storm occurred in an unspecified location, American Samoa, within the Polynesia subregion. It resulted in 90 deaths.;;;
1967-0072-SLB;Storm;Tropical cyclone;Annie;Solomon Islands;Melanesia;Western Islands;;;Kph;;;1967;11;11;1967;11;11;12;;;;;On November 11, 1967, storm occurred in Western Islands, Solomon Islands, within the Melanesia subregion. It resulted in 12 deaths.;;;
1967-0078-COK;Storm;Tropical cyclone;;Cook Islands;Polynesia;Rarotonga, Mangaia;;;Kph;;;1967;12;16;1967;12;16;;;;;;On December 16, 1967, storm occurred in Rarotonga, Mangaia, Cook Islands, within the Polynesia subregion. It resulted in no confirmed casualties.;;;
1968-0026-NCL;Storm;Tropical cyclone;Brenda;New Caledonia;Melanesia;East Coast;;;Kph;;;1968;1;19;1968;1;19;;;;;;On January 19, 1968, storm occurred in East Coast, New Caledonia, within the Melanesia subregion. It resulted in no confirmed casualties.;;;
1968-0030-NIU;Storm;Tropical cyclone;;Niue;Polynesia;;;;Kph;;;1968;2;10;1968;2;10;;;;;;On February 10, 1968, storm occurred in an unspecified location, Niue, within the Polynesia subregion. It resulted in no confirmed casualties.;;;
1968-0085-SLB;Storm;Tropical cyclone;Becky;Solomon Islands;Melanesia;Central Islands;;;Kph;;;1968;12;11;1968;12;11;1;;200;200;;On December 11, 1968, storm occurred in Central Islands, Solomon Islands, within the Melanesia subregion. It resulted in 1 deaths, and 200 people left homeless.;;;
1968-0114-WSM;Storm;Tropical cyclone;;Samoa;Polynesia;All Isl.;;;Kph;;;1968;2;10;1968;2;10;;4;;4;2146;On February 10, 1968, storm occurred in All Isl., Samoa, within the Polynesia subregion. It resulted in 4 injuries.;;;
1969-0049-NCL;Storm;Tropical cyclone;Colleen;New Caledonia;Melanesia;Near Ouvea Is.;;;Kph;;;1969;2;2;1969;2;2;;;;;25654;On February 2, 1969, storm occurred in Near Ouvea Is., New Caledonia, within the Melanesia subregion. It resulted in no confirmed casualties.;;;
1970-0060-PNG;Earthquake;Ground movement;;Papua New Guinea;Melanesia;Madang;;6.9;Moment Magnitude;-4.999;145.396;1970;11;1;1970;11;1;15;20;;4020;14139;On November 1, 1970, a magnitude 6.9 Moment Magnitude earthquake occurred in Madang, Papua New Guinea, within the Melanesia subregion. It resulted in 15 deaths, and 20 injuries.;;;
1971-0008-SLB;Volcanic activity;Ash fall;Tinakula;Solomon Islands;Melanesia;Santa Cruz;;;;;;1971;;;1971;;;;;;6000;;On 1971, volcanic activity occurred in Santa Cruz, Solomon Islands, within the Melanesia subregion. It resulted in no confirmed casualties.;;;
